#ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
NOWITDI01,2003,Dirk,Nowitzki,west,N,1,13,2,0,0,0,1,2,0,2,0,3,1,0,0,1,0
NOWITDI01,2002,Dirk,Nowitzki,west,N,1,16,9,1,0,1,1,0,0,2,1,8,4,0,0,4,1
NOWITDI01,2001,Dirk,Nowitzki,west,N,1,24,12,6,2,8,3,0,0,2,1,11,5,1,1,4,1
NOWITDI01,2008,Dirk,Nowitzki,West,N,1,14,8,1,0,1,1,0,0,0,0,5,3,2,2,0,0
NOWITDI01,2009,Dirk,Nowitzki,West,N,1,28,22,4,0,4,2,1,0,2,2,15,8,6,6,1,0
NOWITDI01,2007,Dirk,Nowitzki,West,N,1,25,13,3,1,4,2,0,0,2,0,14,5,2,2,4,1
NOWITDI01,2004,Dirk,Nowitzki,west,N,1,21,10,4,3,7,2,4,4,3,1,10,4,2,1,3,1
NOWITDI01,2005,Dirk,Nowitzki,west,N,1,16,10,3,3,6,0,0,0,0,2,8,4,3,2,3,0
NOWITDI01,2006,Dirk,Nowitzki,West,N,1,16,9,3,2,5,2,0,0,0,0,9,4,0,0,2,1
ONEAJE01,2006,Jermaine,O'Neal,East,N,1,23,8,4,3,7,1,1,1,0,2,8,4,0,0,0,0
ONEASH01,2006,Shaquille,O'Neal,East,N,1,17,10,2,4,6,1,1,1,0,1,13,5,0,0,0,0
OAKLECH01,1993,Charles,Oakley,east,N,1,11,2,NULL,NULL,3,3,NULL,NULL,NULL,NULL,3,1,0,0,NULL,NULL
OHLDO01,1966,Don,Ohl,east,N,1,22,17,NULL,NULL,1,2,NULL,NULL,NULL,NULL,13,5,7,7,NULL,NULL
OHLDO01,1965,Don,Ohl,west,N,1,23,16,NULL,NULL,4,2,NULL,NULL,NULL,NULL,16,7,3,2,NULL,NULL
OHLDO01,1964,Don,Ohl,west,N,1,12,2,NULL,NULL,2,1,NULL,NULL,NULL,NULL,1,0,2,2,NULL,NULL
OHLDO01,1963,Don,Ohl,west,N,1,18,8,NULL,NULL,2,0,NULL,NULL,NULL,NULL,9,3,2,2,NULL,NULL
OHLDO01,1962,Don,Ohl,west,N,1,12,3,NULL,NULL,0,2,NULL,NULL,NULL,NULL,4,1,1,1,NULL,NULL
OKURME01,2006,Mehmet,Okur,West,N,1,15,4,2,0,2,1,0,0,0,0,2,2,2,0,0,0
OLAJUHA01,1996,Hakeem,Olajuwon,west,N,1,28,11,3,0,3,1,0,1,1,1,8,5,2,1,0,0
OLAJUHA01,1995,Hakeem,Olajuwon,west,N,1,14,4,NULL,NULL,3,0,NULL,NULL,NULL,NULL,8,2,0,0,NULL,NULL
OLAJUHA01,1994,Hakeem,Olajuwon,west,N,1,25,13,NULL,NULL,11,1,NULL,NULL,NULL,NULL,13,6,2,0,NULL,NULL
OLAJUHA01,1993,Hakeem,Olajuwon,west,N,1,30,19,NULL,NULL,11,2,NULL,NULL,NULL,NULL,15,8,6,3,NULL,NULL
OLAJUHA01,1992,Hakeem,Olajuwon,west,N,1,21,3,NULL,NULL,7,1,NULL,NULL,NULL,NULL,5,1,2,1,NULL,0
OLAJUHA01,1991,Hakeem,Olajuwon,west,N,1,20,7,NULL,NULL,4,2,NULL,NULL,NULL,NULL,6,3,1,1,NULL,NULL
OLAJUHA01,1989,Hakeem,Olajuwon,west,N,1,31,8,NULL,NULL,16,2,NULL,NULL,NULL,NULL,14,2,10,4,NULL,NULL
OLAJUHA01,1988,Hakeem,Olajuwon,west,N,1,25,12,NULL,NULL,7,3,NULL,NULL,NULL,NULL,12,5,3,2,NULL,NULL
OLAJUHA01,1987,Hakeem,Olajuwon,west,N,1,28,21,NULL,NULL,9,2,NULL,NULL,NULL,NULL,13,8,7,5,NULL,NULL
OLAJUHA01,1986,Hakeem,Olajuwon,west,N,1,26,10,NULL,NULL,13,2,NULL,NULL,NULL,NULL,6,2,8,6,NULL,NULL
OLAJUHA01,1985,Hakeem,Olajuwon,west,N,1,15,3,NULL,NULL,5,0,NULL,NULL,NULL,NULL,8,1,2,1,NULL,NULL
OLAJUHA01,1984,Hakeem,Olajuwon,west,N,1,15,6,NULL,NULL,5,1,NULL,NULL,NULL,NULL,2,2,6,2,NULL,NULL
ONEAJE01,2003,Jermaine,O'Neal,east,N,1,28,16,7,2,9,2,1,0,2,0,13,7,4,2,0,0
ONEAJE01,2002,Jermaine,O'Neal,east,N,1,33,10,6,4,10,0,2,4,2,2,10,3,6,4,0,0
ONEAJE01,2001,Jermaine,O'Neal,east,N,1,17,7,7,0,7,0,0,0,1,1,5,2,4,3,0,0
ONEAJE01,2005,Jermaine,O'Neal,east,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ONEAJE01,2004,Jermaine,O'Neal,east,N,1,19,15,4,1,5,1,1,1,1,1,10,6,4,3,0,0
ONEASH01,2005,Shaquille,O'Neal,east,N,1,23,17,6,3,9,4,1,0,2,5,9,7,5,3,0,0
ONEASH01,2004,Shaquille,O'Neal,east,N,1,26,12,6,0,6,1,3,3,0,2,11,6,3,0,1,0
ONEASH01,2008,Shaquille,O'Neal,West,N,1,11,17,1,4,5,3,0,1,2,1,9,8,4,1,0,0
ONEASH01,2002,Shaquille,O'Neal,west,N,1,26,19,10,3,13,1,2,1,3,3,14,8,5,3,0,0
ONEASH01,2001,Shaquille,O'Neal,west,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ONEASH01,2000,Shaquille,O'Neal,west,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ONEASH01,1999,Shaquille,O'Neal,west,N,1,25,22,5,4,9,3,0,3,4,2,20,11,2,0,0,0
ONEASH01,1997,Shaquille,O'Neal,west,N,1,18,12,2,2,4,1,0,0,2,2,10,5,4,2,0,0
ONEASH01,1996,Shaquille,O'Neal,west,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
ONEASH01,1995,Shaquille,O'Neal,east,N,1,28,25,NULL,NULL,10,1,NULL,NULL,NULL,NULL,16,10,11,5,NULL,NULL
ONEASH01,1994,Shaquille,O'Neal,east,N,1,26,22,NULL,NULL,7,1,NULL,NULL,NULL,NULL,16,9,7,4,NULL,NULL
ONEASH01,1993,Shaquille,O'Neal,east,N,1,26,8,NULL,NULL,10,0,NULL,NULL,NULL,NULL,12,2,11,4,NULL,NULL
ONEASH01,1992,Shaquille,O'Neal,east,N,1,25,14,NULL,NULL,7,0,NULL,NULL,NULL,NULL,9,4,9,6,NULL,0
ONEASH01,2003,Shaquille,O'Neal,west,N,1,24,24,6,5,11,1,2,2,4,3,19,12,1,0,0,0
PARISRO01,1990,Robert,Parish,east,N,1,5,2,NULL,NULL,4,0,NULL,NULL,NULL,NULL,2,1,0,0,NULL,NULL
PARISRO01,1989,Robert,Parish,east,N,1,21,14,NULL,NULL,4,2,NULL,NULL,NULL,NULL,11,7,1,0,NULL,NULL
PARISRO01,1986,Robert,Parish,east,N,1,8,4,NULL,NULL,3,0,NULL,NULL,NULL,NULL,3,2,0,0,NULL,NULL
PARISRO01,1985,Robert,Parish,east,N,1,7,0,NULL,NULL,1,0,NULL,NULL,NULL,NULL,0,0,2,0,NULL,NULL
PARISRO01,1984,Robert,Parish,east,N,1,10,4,NULL,NULL,6,1,NULL,NULL,NULL,NULL,5,2,0,0,NULL,NULL
PARISRO01,1983,Robert,Parish,east,N,1,28,12,NULL,NULL,15,2,NULL,NULL,NULL,NULL,11,5,4,2,NULL,NULL
PARISRO01,1982,Robert,Parish,east,N,1,18,13,NULL,NULL,3,0,NULL,NULL,NULL,NULL,6,5,4,3,NULL,NULL
PARISRO01,1980,Robert,Parish,east,N,1,25,16,NULL,NULL,10,2,NULL,NULL,NULL,NULL,18,5,6,6,NULL,NULL
PARISRO01,1981,Robert,Parish,East,N,1,20,21,7,0,7,1,0,2,1,2,12,9,4,3,0,0
PARKETO01,2008,Tony,Parker,West,N,1,20,14,4,0,4,4,2,0,2,0,11,7,0,0,2,0
PARKETO01,2006,Tony,Parker,West,N,1,24,8,2,0,2,10,4,0,1,0,7,4,0,0,0,0
PARKETO01,2005,Tony,Parker,west,N,1,20,8,0,0,0,4,0,0,5,1,8,3,2,2,1,0
PAULCH01,2007,Chris,Paul,West,N,1,27,16,1,2,3,14,4,0,2,5,14,7,0,0,6,2
PAULCH01,2008,Chris,Paul,West,N,1,29,14,6,1,7,14,3,0,1,4,14,7,0,0,1,0
PAULTBI01,1972,Billy,Paultz,east,A,1,15,3,3,2,5,3,0,0,1,2,3,1,1,1,0,0
PAULTBI01,1974,Billy,Paultz,east,A,1,18,4,3,1,4,4,1,3,1,2,7,2,0,0,0,0
PAULTBI01,1975,Billy,Paultz,AllStars,A,1,20,10,NULL,NULL,2,1,NULL,NULL,NULL,1,6,4,2,2,0,0
PAXSOJI01,1983,Jim,Paxson,west,N,1,14,10,NULL,NULL,3,2,NULL,NULL,NULL,NULL,9,5,0,0,NULL,NULL
PAXSOJI01,1982,Jim,Paxson,west,N,1,17,11,NULL,NULL,0,1,NULL,NULL,NULL,NULL,7,5,2,1,NULL,NULL
PAYTOGA01,2002,Gary,Payton,west,N,1,15,8,0,1,1,2,0,0,3,3,6,4,0,0,1,0
